ticket_id,queue_clean,priority_clean,status,sla_status,ticket_category_rule_based,sentiment_score,urgency_score,combined_text_length,combined_text
TKT-018874,technical support,high,Closed,SLA Breached,Technical Issues,-2,15,399,"Urgent Technical Support for Data Analytics Tool Our data analytics tool has experienced crashes during peak analysis periods, leading to workflow disruptions. This may be due to server overload or outdated software. Although restarting the tool cleared the cache, the issue still persists. Our team is currently unable to access critical data and requires immediate assistance to resolve the issue."
TKT-057157,it support,high,Closed,SLA Breached,Account Issues,-1,14,1238,"Urgent Assistance Required for Medical Data Encryption Failure Dear Customer Support, I hope this message finds you well. I am reaching out to address a significant issue we are facing with the encryption of our medical data. It has suddenly and unexpectedly failed, leaving sensitive information exposed. This is a serious concern and we urgently need your help to address this matter. Here is a detailed account of the situation: What happened - our medical data encryption failed, exposing sensitive information. Why it might have occurred - we believe this could be due to outdated Ubuntu 20.04 LTS security patches. What we have done so far - we have run Airtable diagnostics and checked our NAS-System connections, but the issue remains unresolved. We kindly request your immediate attention to resolve this problem. Could you please provide guidance on the next steps? We would greatly appreciate any advice on how to update our security patches and ensure our encryption is functioning correctly again. Please let us know if there are any additional details you need from us to help resolve this matter promptly. We look forward to your response and thank you for your prompt attention to this urgent issue. Sincerely, [Your Name]"
TKT-000727,technical support,high,Closed,SLA Breached,Technical Issues,-5,13,530,"Video Application Failure Dear Customer Support,\n\nI urgently seek help regarding an issue with my laptop's video conferencing program. Following a recent routine OS update, the software repeatedly crashes during client calls. This problem significantly hampers my ability to manage ongoing projects smoothly.\n\nI have already tried reinstalling the application and verifying that all drivers are current, but the crashes persist without exception. The timing of these failures strongly indicates a link to the latest OS update."
TKT-005113,it support,high,Closed,SLA Breached,Technical Issues,-5,13,571,"Failure of Digital Tools Customer Support, I am reporting a critical issue impacting the operations of our marketing agency. Key digital applications such as Snagit, Firewall, and Xero have become unresponsive. We suspect this may be due to conflicts within network software. Our preliminary troubleshooting included restarting devices and verifying firewall configurations, but the problem persists. Consequently, our brand development activities are significantly hindered, and we are unable to complete tasks efficiently, leading to a notable decrease in productivity."
TKT-016748,it support,high,Closed,SLA Breached,Technical Issues,-5,13,411,"Unanticipated System Crashes in SaaS Application Resulting in Downtime Users are encountering unanticipated system crashes in the SaaS application, leading to downtime. The issue may be related to compatibility problems arising from recent software updates across multiple platforms. Steps already taken include restarting services, rolling back updates, and checking for hardware failures to resolve the issue."
TKT-000285,technical support,high,Closed,SLA Breached,Other,-4,13,658,"Immediate Attention Needed: Microservice Outages Disrupting SaaS System Dear Customer Support Team,\n\nI am writing to notify you of a critical issue impacting the functionality of our cloud-based SaaS platform. We are experiencing sporadic failures across multiple microservices that are essential for the platform's operations. These failures appear to be linked to potential problems within the Kubernetes orchestration environment.\n\nFor context, our platform depends heavily on a microservices architecture deployed within a Kubernetes cluster. Over recent days, we've observed certain pods shutting down unexpectedly, leading to service interruptions."
TKT-041822,technical support,high,Escalated,Open / Not Applicable,Technical Issues,-4,13,323,"Dear Customer Support, the critical data analytics report generation has failed due to software compatibility issues arising from recent updates. I have attempted to reinstall the affected software and restart the systems, but the issue still persists. I urgently need assistance to resolve this matter to avoid any delays."
TKT-050291,technical support,medium,Closed,SLA Breached,Technical Issues,-4,13,734,"Critical Issue Report: Integration Failure Dear Customer Support,\n\nI am reporting a significant problem that has caused delays in our project. Several integrations failed simultaneously, and we have not been able to resolve the issue despite our efforts. The problem began after a recent update, suggesting possible conflicts or API changes. We have restarted services, checked logs, and verified settings, but the issue persists.\n\nWe would appreciate your urgent assistance in investigating this matter and providing a solution or guidance on how to resolve it. Please let us know if there are additional steps we can take or if you need further information from us.\n\nThank you for your attention.\n\nBest regards,\n[Your Name]"
TKT-051105,technical support,high,Closed,SLA Breached,Technical Issues,-4,13,706,"Technical Problem with Investment Optimization Platform Hello Customer Support, I am contacting you to report an unanticipated crash of our investment optimization platform. During a crucial data processing stage, the system failed to function, and our preliminary investigation points to insufficient processing capability as the possible cause. Despite restarting the system and confirming the integrity of our data feeds, the problem continues. We urgently need your help to address this issue and avoid any potential financial losses. Could you please guide us on the necessary steps or arrange an urgent support meeting? We appreciate your swift response to this matter and look forward to your reply."
TKT-051278,service outages and maintenance,high,Closed,SLA Breached,Technical Issues,-4,13,495,"Technical Issue with Medical Data System An unexpected operational disruption occurred, affecting the integration of medical data systems. Possible causes include software updates, network instability, or hardware failures. Initial troubleshooting steps, such as restarting devices and checking network connections, provided temporary relief but the issue persists. This disruption is currently hindering access to critical patient data, and urgent assistance is required to resolve the problem."
